cell_id,longitude,latitude,anomaly_score,anomaly_rank,robust_distance_score,robust_distance_rank,positive_anchor_similarity,positive_anchor_rank,exploration_priority_score,feature_quality,config_b_sensitivity_similarity,config_b_sensitivity_rank
GRID-17410,80.234433,21.840767,0.1398,13356,0.0057,22032,0.5228,18969,0.3464,valid,0.5821,16404
GRID-17411,80.234723,21.840768,0.1338,14106,0.0087,13317,0.5086,19653,0.4339,valid,0.5766,16838
GRID-17412,80.235013,21.84077,0.3708,2451,0.0244,4878,0.2936,25756,0.6022,valid,0.3494,25534
GRID-17413,80.235304,21.840771,0.0999,19380,0.0178,6139,0.7461,3828,0.6471,valid,0.761,3042
GRID-17414,80.235594,21.840772,0.1391,13434,0.0205,5525,0.6469,10674,0.6437,valid,0.6845,7789
GRID-17415,80.235884,21.840774,0.3276,3397,0.0176,6189,0.3073,25556,0.5774,valid,0.3609,25375
GRID-17416,80.236175,21.840775,0.3627,2590,0.0184,5982,0.2611,26160,0.5824,valid,0.3057,26082
GRID-17417,80.236465,21.840776,0.3662,2533,0.0147,7205,0.2625,26139,0.5686,valid,0.3114,26027
GRID-17418,80.236755,21.840778,0.0991,19507,0.007,17822,0.61,13582,0.3878,valid,0.6596,9806
GRID-17419,80.237046,21.840779,0.0989,19551,0.0082,14541,0.6453,10799,0.4602,valid,0.6803,8116
GRID-17420,80.237336,21.84078,0.0496,26574,0.0047,24628,0.6065,13861,0.2176,valid,0.6549,10235
GRID-17421,80.237626,21.840782,0.128,14909,0.0124,8565,0.6714,8821,0.6117,valid,0.6673,9172
GRID-17422,80.237916,21.840783,0.0994,19455,0.0069,18202,0.5444,17802,0.3331,valid,0.5879,15931
GRID-17423,80.238207,21.840784,0.4814,1059,0.0222,5214,0.2093,26719,0.6033,valid,0.2478,26611
GRID-17424,80.238497,21.840786,0.4278,1561,0.0202,5599,0.2672,26101,0.6001,valid,0.3078,26061
GRID-17425,80.238787,21.840787,0.2851,4651,0.0152,7003,0.5293,18614,0.636,valid,0.5069,21133
GRID-17426,80.239078,21.840788,0.2032,8184,0.0122,8683,0.5481,17582,0.5858,valid,0.5395,19389
GRID-17427,80.239368,21.84079,0.0893,21230,0.0051,23486,0.7229,5184,0.4,valid,0.7735,2491
GRID-17428,80.239658,21.840791,0.12,16045,0.0137,7693,0.8086,1375,0.698,valid,0.8138,1241
GRID-17429,80.239948,21.840792,0.2727,5101,0.0143,7409,0.5889,15123,0.6677,valid,0.5775,16773
GRID-17430,80.240239,21.840794,0.1272,15011,0.0077,15827,0.5624,16805,0.4271,valid,0.6093,14191
GRID-17431,80.240529,21.840795,0.1775,9822,0.0103,10540,0.4652,21496,0.4967,valid,0.5061,21173
GRID-17432,80.240819,21.840796,0.3338,3235,0.0153,6976,0.2875,25831,0.5666,valid,0.3333,25747
GRID-17433,80.24111,21.840798,0.0918,20781,0.0115,9292,0.7035,6490,0.5603,valid,0.7026,6448
GRID-17434,80.2414,21.840799,0.0909,20943,0.0117,9076,0.7695,2651,0.6072,valid,0.7824,2172
GRID-17435,80.24169,21.8408,0.1025,18930,0.0124,8546,0.737,4363,0.6172,valid,0.774,2471
GRID-17436,80.24198,21.840802,0.0839,22201,0.0082,14510,0.6525,10242,0.4354,valid,0.6954,6981
GRID-17437,80.242271,21.840803,0.247,6116,0.0095,11854,0.4233,22994,0.5074,valid,0.4674,22836
GRID-17438,80.242561,21.840804,0.1371,13645,0.0114,9301,0.481,20876,0.4731,valid,0.5098,20982
GRID-17439,80.242851,21.840806,0.2171,7433,0.0125,8496,0.4394,22449,0.5385,valid,0.4675,22834
GRID-17440,80.243142,21.840807,0.3007,4179,0.0133,7926,0.415,23244,0.5749,valid,0.4471,23495
GRID-17441,80.243432,21.840808,0.1916,8899,0.0098,11310,0.4252,22927,0.4813,valid,0.4692,22763
GRID-17442,80.243722,21.84081,0.2487,6035,0.0105,10266,0.333,25176,0.5013,valid,0.3702,25223
GRID-17443,80.244012,21.840811,0.3279,3385,0.0121,8750,0.2349,26469,0.5358,valid,0.2709,26440
GRID-17444,80.244303,21.840812,0.2218,7197,0.0104,10469,0.3439,24982,0.4872,valid,0.3896,24887
GRID-17445,80.244593,21.840814,0.3041,4079,0.0141,7509,0.2966,25712,0.5515,valid,0.3315,25767
GRID-17446,80.244883,21.840815,0.2774,4929,0.0141,7513,0.2889,25814,0.54,valid,0.3231,25884
GRID-17447,80.245174,21.840816,0.2085,7867,0.009,12786,0.3495,24878,0.4525,valid,0.3951,24781
GRID-17448,80.245464,21.840818,0.1326,14264,0.0081,14765,0.4588,21726,0.3897,valid,0.5069,21139
GRID-17449,80.245754,21.840819,0.1926,8814,0.0097,11504,0.3738,24343,0.463,valid,0.4177,24281
GRID-17450,80.246045,21.84082,0.2199,7290,0.0103,10535,0.3423,25019,0.4848,valid,0.3774,25108
GRID-17451,80.246335,21.840822,0.3126,3823,0.0098,11271,0.2684,26089,0.5048,valid,0.3029,26118
GRID-17452,80.246625,21.840823,0.2757,4999,0.0123,8586,0.3589,24681,0.5399,valid,0.3928,24824
GRID-17453,80.246915,21.840824,0.1312,14447,0.0102,10687,0.4898,20523,0.451,valid,0.5163,20674
GRID-17454,80.247206,21.840826,0.1574,11442,0.0111,9665,0.4539,21924,0.4826,valid,0.4766,22468
GRID-17455,80.247496,21.840827,0.0727,23986,0.0078,15525,0.507,19724,0.2877,valid,0.5474,18898
GRID-17456,80.247786,21.840828,0.0747,23712,0.006,20811,0.5569,17093,0.2591,valid,0.5924,15562
GRID-17457,80.248077,21.84083,0.0845,22089,0.0053,22921,0.5529,17308,0.2506,valid,0.5902,15737
GRID-17458,80.248367,21.840831,0.1501,12200,0.0054,22703,0.4507,22044,0.3152,valid,0.4982,21558
GRID-17459,80.248657,21.840832,0.0935,20470,0.0052,23216,0.505,19816,0.2364,valid,0.5531,18514
GRID-17460,80.248947,21.840834,0.0379,27225,0.0033,26975,0.5203,19100,0.1186,valid,0.5602,18048
